Entry	Entry Name	Protein names	Gene Names	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs	Gene Ontology (GO)	STRING
Q9BZI7	REN3B_HUMAN	Regulator of nonsense transcripts 3B (Nonsense mRNA reducing factor 3B) (Up-frameshift suppressor 3 homolog B) (hUpf3B) (Up-frameshift suppressor 3 homolog on chromosome X) (hUpf3p-X)	UPF3B RENT3B UPF3X	brain development [GO:0007420]; mRNA transport [GO:0051028]; neuron projection development [GO:0031175]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of mRNA cis splicing, via spliceosome [GO:1905746]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of translation [GO:0045727]	centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; exon-exon junction complex [GO:0035145]; neuronal cell body [GO:0043025]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	mRNA binding [GO:0003729]; RNA binding [GO:0003723]	GO:0000184; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0007420; GO:0031175; GO:0034451; GO:0035145; GO:0043025; GO:0045666; GO:0045727; GO:0051028; GO:1905746	centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; exon-exon junction complex [GO:0035145]; neuronal cell body [GO:0043025]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; brain development [GO:0007420]; mRNA transport [GO:0051028]; neuron projection development [GO:0031175]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of mRNA cis splicing, via spliceosome [GO:1905746]; positive regulation of neuron differentiation [GO:0045666]; positive regulation of translation [GO:0045727]	9606.ENSP00000276201
Q9C026	TRIM9_HUMAN	E3 ubiquitin-protein ligase TRIM9 (EC 2.3.2.27) (RING finger protein 91) (RING-type E3 ubiquitin transferase TRIM9) (Tripartite motif-containing protein 9)	TRIM9 KIAA0282 RNF91	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; dendrite [GO:0030425]; synaptic vesicle [GO:0008021]	protein domain specific binding [GO:0019904]; protein homodimerization activity [GO:0042803]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	GO:0005737; GO:0005856; GO:0008021; GO:0008270; GO:0016567; GO:0019904; GO:0030425; GO:0042803; GO:0043161; GO:0061630	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; dendrite [GO:0030425]; synaptic vesicle [GO:0008021]; protein domain specific binding [GO:0019904]; protein homodimerization activity [GO:0042803]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein ubiquitination [GO:0016567]	9606.ENSP00000298355
Q9H4Y5	GSTO2_HUMAN	Glutathione S-transferase omega-2 (GSTO-2) (EC 2.5.1.18) (Glutathione S-transferase omega 2-2) (GSTO 2-2) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2)	GSTO2	cellular response to arsenic-containing substance [GO:0071243]; glutathione metabolic process [GO:0006749]; L-ascorbic acid metabolic process [GO:0019852]; xenobiotic metabolic process [GO:0006805]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]	glutathione dehydrogenase (ascorbate) activity [GO:0045174]; glutathione transferase activity [GO:0004364]; identical protein binding [GO:0042802]; methylarsonate reductase activity [GO:0050610]; oxidoreductase activity [GO:0016491]	GO:0004364; GO:0005737; GO:0005829; GO:0006749; GO:0006805; GO:0016491; GO:0019852; GO:0042802; GO:0045174; GO:0050610; GO:0070062; GO:0071243	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; glutathione dehydrogenase (ascorbate) activity [GO:0045174]; glutathione transferase activity [GO:0004364]; identical protein binding [GO:0042802]; methylarsonate reductase activity [GO:0050610]; oxidoreductase activity [GO:0016491]; cellular response to arsenic-containing substance [GO:0071243]; glutathione metabolic process [GO:0006749]; L-ascorbic acid metabolic process [GO:0019852]; xenobiotic metabolic process [GO:0006805]	9606.ENSP00000345023
Q9H5Q4	TFB2M_HUMAN	Dimethyladenosine transferase 2, mitochondrial (EC 2.1.1.-) (Hepatitis C virus NS5A-transactivated protein 5) (HCV NS5A-transactivated protein 5) (Mitochondrial 12S rRNA dimethylase 2) (Mitochondrial transcription factor B2) (h-mtTFB) (h-mtTFB2) (hTFB2M) (mtTFB2) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase 2)	TFB2M NS5ATP5	mitochondrial transcription [GO:0006390]; rRNA methylation [GO:0031167]; transcription initiation at mitochondrial promoter [GO:0006391]	mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]	mitochondrial transcription factor activity [GO:0034246]; RNA binding [GO:0003723]; rRNA (adenine-N6,N6-)-dimethyltransferase activity [GO:0000179]	GO:0000179; GO:0003723; GO:0005739; GO:0005759; GO:0006390; GO:0006391; GO:0031167; GO:0034246; GO:0042645	mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; mitochondrial transcription factor activity [GO:0034246]; RNA binding [GO:0003723]; rRNA (adenine-N6,N6-)-dimethyltransferase activity [GO:0000179]; mitochondrial transcription [GO:0006390]; rRNA methylation [GO:0031167]; transcription initiation at mitochondrial promoter [GO:0006391]	9606.ENSP00000355471
Q9H7F0	AT133_HUMAN	Polyamine-transporting ATPase 13A3 (ATPase family homolog up-regulated in senescence cells 1) (Putrescine transporting ATPase) (EC 7.6.2.16)	ATP13A3 AFURS1	intracellular calcium ion homeostasis [GO:0006874]; polyamine transmembrane transport [GO:1902047]	early endosome membrane [GO:0031901]; late endosome membrane [GO:0031902]; membrane [GO:0016020]; recycling endosome membrane [GO:0055038]	ABC-type putrescine transporter activity [GO:0015594]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled monoatomic cation transmembrane transporter activity [GO:0019829]; metal ion binding [GO:0046872]; P-type ion transporter activity [GO:0015662]; P-type transmembrane transporter activity [GO:0140358]; polyamine transmembrane transporter activity [GO:0015203]	GO:0005524; GO:0006874; GO:0015203; GO:0015594; GO:0015662; GO:0016020; GO:0016887; GO:0019829; GO:0031901; GO:0031902; GO:0046872; GO:0055038; GO:0140358; GO:1902047	early endosome membrane [GO:0031901]; late endosome membrane [GO:0031902]; membrane [GO:0016020]; recycling endosome membrane [GO:0055038]; ABC-type putrescine transporter activity [GO:0015594]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled monoatomic cation transmembrane transporter activity [GO:0019829]; metal ion binding [GO:0046872]; P-type ion transporter activity [GO:0015662]; P-type transmembrane transporter activity [GO:0140358]; polyamine transmembrane transporter activity [GO:0015203]; intracellular calcium ion homeostasis [GO:0006874]; polyamine transmembrane transport [GO:1902047]	9606.ENSP00000416508
Q9NP95	FGF20_HUMAN	Fibroblast growth factor 20 (FGF-20)	FGF20	animal organ morphogenesis [GO:0009887]; cell differentiation [GO:0030154]; cell-cell signaling [GO:0007267]; fibroblast growth factor receptor signaling pathway [GO:0008543]; inner ear auditory receptor cell differentiation [GO:0042491]; negative regulation of neuron apoptotic process [GO:0043524]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of dopaminergic neuron differentiation [GO:1904340]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of MAPK cascade [GO:0043410]; regulation of cardiac muscle cell proliferation [GO:0060043]; regulation of cell migration [GO:0030334]; regulation of dopamine secretion [GO:0014059]; signal transduction [GO:0007165]	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]	fibroblast growth factor receptor binding [GO:0005104]; growth factor activity [GO:0008083]; heparan sulfate proteoglycan binding [GO:0043395]; receptor-receptor interaction [GO:0090722]; signaling receptor binding [GO:0005102]	GO:0005102; GO:0005104; GO:0005576; GO:0005615; GO:0005737; GO:0007165; GO:0007267; GO:0008083; GO:0008284; GO:0008543; GO:0009887; GO:0010628; GO:0014059; GO:0030154; GO:0030334; GO:0042491; GO:0043395; GO:0043410; GO:0043524; GO:0060043; GO:0070374; GO:0090722; GO:1904340	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; fibroblast growth factor receptor binding [GO:0005104]; growth factor activity [GO:0008083]; heparan sulfate proteoglycan binding [GO:0043395]; receptor-receptor interaction [GO:0090722]; signaling receptor binding [GO:0005102]; animal organ morphogenesis [GO:0009887]; cell differentiation [GO:0030154]; cell-cell signaling [GO:0007267]; fibroblast growth factor receptor signaling pathway [GO:0008543]; inner ear auditory receptor cell differentiation [GO:0042491]; negative regulation of neuron apoptotic process [GO:0043524]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of dopaminergic neuron differentiation [GO:1904340]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of MAPK cascade [GO:0043410]; regulation of cardiac muscle cell proliferation [GO:0060043]; regulation of cell migration [GO:0030334]; regulation of dopamine secretion [GO:0014059]; signal transduction [GO:0007165]	9606.ENSP00000180166
Q9NPL8	TIDC1_HUMAN	Complex I assembly factor TIMMDC1, mitochondrial (Protein M5-14) (Translocase of inner mitochondrial membrane domain-containing protein 1) (TIMM domain containing-protein 1)	TIMMDC1 C3orf1 UNQ247/PRO284		mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]		GO:0005654; GO:0005739; GO:0005743	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]	9606.ENSP00000418803
Q9NQ11	AT132_HUMAN	Polyamine-transporting ATPase 13A2 (EC 7.6.2.-)	ATP13A2 PARK9	autophagosome organization [GO:1905037]; autophagosome-lysosome fusion [GO:0061909]; autophagy [GO:0006914]; cellular response to manganese ion [GO:0071287]; cellular response to oxidative stress [GO:0034599]; cellular response to zinc ion [GO:0071294]; extracellular exosome biogenesis [GO:0097734]; intracellular calcium ion homeostasis [GO:0006874]; intracellular iron ion homeostasis [GO:0006879]; intracellular monoatomic cation homeostasis [GO:0030003]; intracellular zinc ion homeostasis [GO:0006882]; lipid homeostasis [GO:0055088]; lysosomal transport [GO:0007041]; monoatomic ion transmembrane transport [GO:0034220]; negative regulation of lysosomal protein catabolic process [GO:1905166]; peptidyl-aspartic acid autophosphorylation [GO:1990938]; polyamine transmembrane transport [GO:1902047]; positive regulation of exosomal secretion [GO:1903543]; positive regulation of gene expression [GO:0010628]; positive regulation of protein secretion [GO:0050714]; protein autophosphorylation [GO:0046777]; protein localization to lysosome [GO:0061462]; regulation of autophagosome size [GO:0016243]; regulation of autophagy of mitochondrion [GO:1903146]; regulation of chaperone-mediated autophagy [GO:1904714]; regulation of endopeptidase activity [GO:0052548]; regulation of glucosylceramidase activity [GO:1905123]; regulation of intracellular protein transport [GO:0033157]; regulation of lysosomal protein catabolic process [GO:1905165]; regulation of macroautophagy [GO:0016241]; regulation of mitochondrion organization [GO:0010821]; regulation of neuron apoptotic process [GO:0043523]; regulation of protein localization to nucleus [GO:1900180]; regulation of ubiquitin-specific protease activity [GO:2000152]; spermine transmembrane transport [GO:1903710]; transmembrane transport [GO:0055085]	autophagosome [GO:0005776]; autophagosome membrane [GO:0000421]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lysosomal lumen [GO:0043202]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; multivesicular body [GO:0005771]; multivesicular body membrane [GO:0032585]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; transport vesicle [GO:0030133]; vesicle [GO:0031982]	ABC-type polyamine transporter activity [GO:0015417]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled monoatomic cation transmembrane transporter activity [GO:0019829]; cupric ion binding [GO:1903135]; manganese ion binding [GO:0030145]; P-type ion transporter activity [GO:0015662]; phosphatidic acid binding [GO:0070300]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; polyamine transmembrane transporter activity [GO:0015203]; zinc ion binding [GO:0008270]	GO:0000421; GO:0005524; GO:0005764; GO:0005765; GO:0005770; GO:0005771; GO:0005776; GO:0006874; GO:0006879; GO:0006882; GO:0006914; GO:0007041; GO:0008270; GO:0010628; GO:0010821; GO:0015203; GO:0015417; GO:0015662; GO:0016020; GO:0016241; GO:0016243; GO:0016887; GO:0019829; GO:0030003; GO:0030133; GO:0030145; GO:0031902; GO:0031982; GO:0032585; GO:0033157; GO:0034220; GO:0034599; GO:0043005; GO:0043025; GO:0043202; GO:0043523; GO:0046777; GO:0050714; GO:0052548; GO:0055085; GO:0055088; GO:0061462; GO:0061909; GO:0070300; GO:0071287; GO:0071294; GO:0080025; GO:0097734; GO:1900180; GO:1902047; GO:1903135; GO:1903146; GO:1903543; GO:1903710; GO:1904714; GO:1905037; GO:1905123; GO:1905165; GO:1905166; GO:1990938; GO:2000152	autophagosome [GO:0005776]; autophagosome membrane [GO:0000421]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; lysosomal lumen [GO:0043202]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; membrane [GO:0016020]; multivesicular body [GO:0005771]; multivesicular body membrane [GO:0032585]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; transport vesicle [GO:0030133]; vesicle [GO:0031982]; ABC-type polyamine transporter activity [GO:0015417]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled monoatomic cation transmembrane transporter activity [GO:0019829]; cupric ion binding [GO:1903135]; manganese ion binding [GO:0030145]; P-type ion transporter activity [GO:0015662]; phosphatidic acid binding [GO:0070300]; phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]; polyamine transmembrane transporter activity [GO:0015203]; zinc ion binding [GO:0008270]; autophagosome organization [GO:1905037]; autophagosome-lysosome fusion [GO:0061909]; autophagy [GO:0006914]; cellular response to manganese ion [GO:0071287]; cellular response to oxidative stress [GO:0034599]; cellular response to zinc ion [GO:0071294]; extracellular exosome biogenesis [GO:0097734]; intracellular calcium ion homeostasis [GO:0006874]; intracellular iron ion homeostasis [GO:0006879]; intracellular monoatomic cation homeostasis [GO:0030003]; intracellular zinc ion homeostasis [GO:0006882]; lipid homeostasis [GO:0055088]; lysosomal transport [GO:0007041]; monoatomic ion transmembrane transport [GO:0034220]; negative regulation of lysosomal protein catabolic process [GO:1905166]; peptidyl-aspartic acid autophosphorylation [GO:1990938]; polyamine transmembrane transport [GO:1902047]; positive regulation of exosomal secretion [GO:1903543]; positive regulation of gene expression [GO:0010628]; positive regulation of protein secretion [GO:0050714]; protein autophosphorylation [GO:0046777]; protein localization to lysosome [GO:0061462]; regulation of autophagosome size [GO:0016243]; regulation of autophagy of mitochondrion [GO:1903146]; regulation of chaperone-mediated autophagy [GO:1904714]; regulation of endopeptidase activity [GO:0052548]; regulation of glucosylceramidase activity [GO:1905123]; regulation of intracellular protein transport [GO:0033157]; regulation of lysosomal protein catabolic process [GO:1905165]; regulation of macroautophagy [GO:0016241]; regulation of mitochondrion organization [GO:0010821]; regulation of neuron apoptotic process [GO:0043523]; regulation of protein localization to nucleus [GO:1900180]; regulation of ubiquitin-specific protease activity [GO:2000152]; spermine transmembrane transport [GO:1903710]; transmembrane transport [GO:0055085]	9606.ENSP00000327214
Q9NV58	RN19A_HUMAN	E3 ubiquitin-protein ligase RNF19A (EC 2.3.2.31) (Double ring-finger protein) (Dorfin) (RING finger protein 19A) (p38)	RNF19A RNF19	microtubule cytoskeleton organization [GO:0000226]; protein polyubiquitination [GO:0000209]; regulation of protein catabolic process at postsynapse, modulating synaptic transmission [GO:0099576]; ubiquitin-dependent protein catabolic process [GO:0006511]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; membrane [GO:0016020]; postsynapse [GO:0098794]; ubiquitin ligase complex [GO:0000151]	ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]	GO:0000151; GO:0000209; GO:0000226; GO:0005737; GO:0005813; GO:0005829; GO:0006511; GO:0008270; GO:0016020; GO:0031624; GO:0061630; GO:0098686; GO:0098794; GO:0098978; GO:0099576	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; membrane [GO:0016020]; postsynapse [GO:0098794]; ubiquitin ligase complex [GO:0000151]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; microtubule cytoskeleton organization [GO:0000226]; protein polyubiquitination [GO:0000209]; regulation of protein catabolic process at postsynapse, modulating synaptic transmission [GO:0099576]; ubiquitin-dependent protein catabolic process [GO:0006511]	9606.ENSP00000428968
Q9NX09	DDIT4_HUMAN	DNA damage-inducible transcript 4 protein (HIF-1 responsive protein RTP801) (Protein regulated in development and DNA damage response 1) (REDD-1)	DDIT4 REDD1 RTP801	apoptotic process [GO:0006915]; brain development [GO:0007420]; cellular response to dexamethasone stimulus [GO:0071549]; defense response to virus [GO:0051607]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; negative regulation of glycolytic process [GO:0045820]; negative regulation of TOR signaling [GO:0032007]; neuron differentiation [GO:0030182]; neuron migration [GO:0001764]; neurotrophin TRK receptor signaling pathway [GO:0048011]; protein-containing complex disassembly [GO:0032984]; reactive oxygen species metabolic process [GO:0072593]; response to hypoxia [GO:0001666]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]	14-3-3 protein binding [GO:0071889]	GO:0001666; GO:0001764; GO:0005737; GO:0005739; GO:0005829; GO:0006915; GO:0007420; GO:0030182; GO:0032007; GO:0032984; GO:0035556; GO:0042771; GO:0045820; GO:0048011; GO:0051607; GO:0071549; GO:0071889; GO:0072593	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; 14-3-3 protein binding [GO:0071889]; apoptotic process [GO:0006915]; brain development [GO:0007420]; cellular response to dexamethasone stimulus [GO:0071549]; defense response to virus [GO:0051607]; intracellular signal transduction [GO:0035556]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; negative regulation of glycolytic process [GO:0045820]; negative regulation of TOR signaling [GO:0032007]; neuron differentiation [GO:0030182]; neuron migration [GO:0001764]; neurotrophin TRK receptor signaling pathway [GO:0048011]; protein-containing complex disassembly [GO:0032984]; reactive oxygen species metabolic process [GO:0072593]; response to hypoxia [GO:0001666]	9606.ENSP00000307305
Q9NX14	NDUBB_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial (Complex I-ESSS) (CI-ESSS) (NADH-ubiquinone oxidoreductase ESSS subunit) (Neuronal protein 17.3) (Np17.3) (p17.3)	NDUFB11 UNQ111/PRO1064	aerobic respiration [GO:0009060]; mitochondrial respiratory chain complex I assembly [GO:0032981]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex I [GO:0045271]		GO:0005739; GO:0005743; GO:0009060; GO:0032981; GO:0042776; GO:0045271	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex I [GO:0045271]; aerobic respiration [GO:0009060]; mitochondrial respiratory chain complex I assembly [GO:0032981]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]	9606.ENSP00000276062
Q9P032	NDUF4_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4 (Hormone-regulated proliferation-associated protein of 20 kDa)	NDUFAF4 C6orf66 HRPAP20 HSPC125 My013	defense response to virus [GO:0051607]; mitochondrial respiratory chain complex I assembly [GO:0032981]; negative regulation of apoptotic process [GO:0043066]; positive regulation of cell population proliferation [GO:0008284]	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]	calmodulin binding [GO:0005516]	GO:0005516; GO:0005739; GO:0005743; GO:0005829; GO:0008284; GO:0031966; GO:0032981; GO:0043066; GO:0051607	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; calmodulin binding [GO:0005516]; defense response to virus [GO:0051607]; mitochondrial respiratory chain complex I assembly [GO:0032981]; negative regulation of apoptotic process [GO:0043066]; positive regulation of cell population proliferation [GO:0008284]	9606.ENSP00000358272
Q9P0J0	NDUAD_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Cell death regulatory protein GRIM-19) (Complex I-B16.6) (CI-B16.6) (Gene associated with retinoic and interferon-induced mortality 19 protein) (GRIM-19) (Gene associated with retinoic and IFN-induced mortality 19 protein) (NADH-ubiquinone oxidoreductase B16.6 subunit)	NDUFA13 GRIM19 CDA016 CGI-39	aerobic respiration [GO:0009060]; cellular response to interferon-beta [GO:0035458]; cellular response to retinoic acid [GO:0071300]; extrinsic apoptotic signaling pathway [GO:0097191]; mitochondrial respiratory chain complex I assembly [GO:0032981]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of protein catabolic process [GO:0045732]; protein insertion into mitochondrial inner membrane [GO:0045039]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]	cytoplasm [GO:0005737]; mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; respiratory chain complex [GO:0098803]; respiratory chain complex I [GO:0045271]	ATP binding [GO:0005524]; endopeptidase activator activity [GO:0061133]	GO:0005524; GO:0005654; GO:0005737; GO:0005739; GO:0005743; GO:0009060; GO:0031966; GO:0032981; GO:0035458; GO:0042776; GO:0045039; GO:0045271; GO:0045732; GO:0045892; GO:0061133; GO:0071300; GO:0097191; GO:0098803; GO:1900119	cytoplasm [GO:0005737]; mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; respiratory chain complex [GO:0098803]; respiratory chain complex I [GO:0045271]; ATP binding [GO:0005524]; endopeptidase activator activity [GO:0061133]; aerobic respiration [GO:0009060]; cellular response to interferon-beta [GO:0035458]; cellular response to retinoic acid [GO:0071300]; extrinsic apoptotic signaling pathway [GO:0097191]; mitochondrial respiratory chain complex I assembly [GO:0032981]; negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of protein catabolic process [GO:0045732]; protein insertion into mitochondrial inner membrane [GO:0045039]; proton motive force-driven mitochondrial ATP synthesis [GO:0042776]	9606.ENSP00000423673
Q9P202	WHRN_HUMAN	Whirlin (Autosomal recessive deafness type 31 protein)	WHRN DFNB31 KIAA1526	auditory receptor cell stereocilium organization [GO:0060088]; cerebellar Purkinje cell layer formation [GO:0021694]; detection of mechanical stimulus involved in sensory perception of sound [GO:0050910]; establishment of localization in cell [GO:0051649]; establishment of protein localization [GO:0045184]; inner ear receptor cell differentiation [GO:0060113]; inner ear receptor cell stereocilium organization [GO:0060122]; paranodal junction maintenance [GO:1990227]; positive regulation of gene expression [GO:0010628]; retina homeostasis [GO:0001895]; sensory perception of light stimulus [GO:0050953]; sensory perception of sound [GO:0007605]	actin filament [GO:0005884]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; growth cone [GO:0030426]; periciliary membrane compartment [GO:1990075]; photoreceptor connecting cilium [GO:0032391]; photoreceptor inner segment [GO:0001917]; plasma membrane [GO:0005886]; stereocilia ankle link [GO:0002141]; stereocilia ankle link complex [GO:0002142]; stereocilium [GO:0032420]; stereocilium tip [GO:0032426]; synapse [GO:0045202]; USH2 complex [GO:1990696]	identical protein binding [GO:0042802]	GO:0001895; GO:0001917; GO:0002141; GO:0002142; GO:0005737; GO:0005884; GO:0005886; GO:0005929; GO:0007605; GO:0010628; GO:0021694; GO:0030426; GO:0032391; GO:0032420; GO:0032426; GO:0036064; GO:0042802; GO:0045184; GO:0045202; GO:0050910; GO:0050953; GO:0051649; GO:0060088; GO:0060113; GO:0060122; GO:1990075; GO:1990227; GO:1990696	actin filament [GO:0005884]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; growth cone [GO:0030426]; periciliary membrane compartment [GO:1990075]; photoreceptor connecting cilium [GO:0032391]; photoreceptor inner segment [GO:0001917]; plasma membrane [GO:0005886]; stereocilia ankle link [GO:0002141]; stereocilia ankle link complex [GO:0002142]; stereocilium [GO:0032420]; stereocilium tip [GO:0032426]; synapse [GO:0045202]; USH2 complex [GO:1990696]; identical protein binding [GO:0042802]; auditory receptor cell stereocilium organization [GO:0060088]; cerebellar Purkinje cell layer formation [GO:0021694]; detection of mechanical stimulus involved in sensory perception of sound [GO:0050910]; establishment of localization in cell [GO:0051649]; establishment of protein localization [GO:0045184]; inner ear receptor cell differentiation [GO:0060113]; inner ear receptor cell stereocilium organization [GO:0060122]; paranodal junction maintenance [GO:1990227]; positive regulation of gene expression [GO:0010628]; retina homeostasis [GO:0001895]; sensory perception of light stimulus [GO:0050953]; sensory perception of sound [GO:0007605]	9606.ENSP00000354623
