Entry,Entry Name,Protein names,Gene Names,name,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (GO),Gene Ontology (molecular function),Gene Ontology IDs
Q15025,TNIP1_HUMAN,TNFAIP3-interacting protein 1 (A20-binding inhibitor of NF-kappa-B activation 1) (ABIN-1) (HIV-1 Nef-interacting protein) (Nef-associated factor 1) (Naf1) (Nip40-1) (Virion-associated nuclear shuttling protein) (VAN) (hVAN),TNIP1 KIAA0113 NAF1,9606.ENSP00000317891,cellular response to lipopolysaccharide [GO:0071222]; defense response [GO:0006952]; glycoprotein biosynthetic process [GO:0009101]; inflammatory response [GO:0006954]; leukocyte cell-cell adhesion [GO:0007159]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of viral genome replication [GO:0045071]; positive regulation of inflammatory response [GO:0050729]; positive regulation of protein deubiquitination [GO:1903003]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; translation [GO:0006412],cytosol [GO:0005829]; nucleoplasm [GO:0005654],cytosol [GO:0005829]; nucleoplasm [GO:0005654]; identical protein binding [GO:0042802]; mitogen-activated protein kinase binding [GO:0051019]; cellular response to lipopolysaccharide [GO:0071222]; defense response [GO:0006952]; glycoprotein biosynthetic process [GO:0009101]; inflammatory response [GO:0006954]; leukocyte cell-cell adhesion [GO:0007159]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; negative regulation of canonical NF-kappaB signal transduction [GO:0043124]; negative regulation of ERK1 and ERK2 cascade [GO:0070373]; negative regulation of viral genome replication [GO:0045071]; positive regulation of inflammatory response [GO:0050729]; positive regulation of protein deubiquitination [GO:1903003]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; translation [GO:0006412],identical protein binding [GO:0042802]; mitogen-activated protein kinase binding [GO:0051019],GO:0002755; GO:0005654; GO:0005829; GO:0006357; GO:0006412; GO:0006952; GO:0006954; GO:0007159; GO:0009101; GO:0042802; GO:0043124; GO:0045071; GO:0045944; GO:0050729; GO:0051019; GO:0070373; GO:0071222; GO:1903003
Q15116,PDCD1_HUMAN,Programmed cell death protein 1 (Protein PD-1) (hPD-1) (CD antigen CD279),PDCD1 PD1,9606.ENSP00000335062,adaptive immune response [GO:0002250]; apoptotic process [GO:0006915]; B cell apoptotic process [GO:0001783]; humoral immune response [GO:0006959]; negative regulation of B cell apoptotic process [GO:0002903]; negative regulation of immune response [GO:0050777]; negative regulation of inflammatory response [GO:0050728]; negative regulation of T cell activation [GO:0050868]; negative regulation of T cell mediated immune response to tumor cell [GO:0002841]; negative regulation of T cell receptor signaling pathway [GO:0050860]; negative regulation of tolerance induction [GO:0002644]; positive regulation of T cell apoptotic process [GO:0070234]; regulation of immune response [GO:0050776]; regulatory T cell apoptotic process [GO:1902482],external side of plasma membrane [GO:0009897]; plasma membrane [GO:0005886],external side of plasma membrane [GO:0009897]; plasma membrane [GO:0005886]; signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888]; adaptive immune response [GO:0002250]; apoptotic process [GO:0006915]; B cell apoptotic process [GO:0001783]; humoral immune response [GO:0006959]; negative regulation of B cell apoptotic process [GO:0002903]; negative regulation of immune response [GO:0050777]; negative regulation of inflammatory response [GO:0050728]; negative regulation of T cell activation [GO:0050868]; negative regulation of T cell mediated immune response to tumor cell [GO:0002841]; negative regulation of T cell receptor signaling pathway [GO:0050860]; negative regulation of tolerance induction [GO:0002644]; positive regulation of T cell apoptotic process [GO:0070234]; regulation of immune response [GO:0050776]; regulatory T cell apoptotic process [GO:1902482],signaling receptor activity [GO:0038023]; transmembrane signaling receptor activity [GO:0004888],GO:0001783; GO:0002250; GO:0002644; GO:0002841; GO:0002903; GO:0004888; GO:0005886; GO:0006915; GO:0006959; GO:0009897; GO:0038023; GO:0050728; GO:0050776; GO:0050777; GO:0050860; GO:0050868; GO:0070234; GO:1902482
Q5JSL3,DOC11_HUMAN,Dedicator of cytokinesis protein 11 (Activated Cdc42-associated guanine nucleotide exchange factor) (ACG) (Zizimin-2),DOCK11 ZIZ2,9606.ENSP00000276202,B cell homeostasis [GO:0001782]; marginal zone B cell differentiation [GO:0002315]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of GTPase activity [GO:0043547]; regulation of Rho protein signal transduction [GO:0035023]; small GTPase-mediated signal transduction [GO:0007264],cytosol [GO:0005829],cytosol [GO:0005829]; guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase binding [GO:0031267]; B cell homeostasis [GO:0001782]; marginal zone B cell differentiation [GO:0002315]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of GTPase activity [GO:0043547]; regulation of Rho protein signal transduction [GO:0035023]; small GTPase-mediated signal transduction [GO:0007264],guanyl-nucleotide exchange factor activity [GO:0005085]; small GTPase binding [GO:0031267],GO:0001782; GO:0002315; GO:0005085; GO:0005829; GO:0007264; GO:0031267; GO:0035023; GO:0043547; GO:0051491
Q6AZZ1,TRI68_HUMAN,E3 ubiquitin-protein ligase TRIM68 (EC 2.3.2.27) (RING finger protein 137) (RING-type E3 ubiquitin transferase TRIM68) (SSA protein SS-56) (SS-56) (Tripartite motif-containing protein 68),TRIM68 GC109 RNF137 SS56,9606.ENSP00000300747,innate immune response [GO:0045087]; protein autoubiquitination [GO:0051865]; regulation of androgen receptor signaling pathway [GO:0060765]; regulation of gene expression [GO:0010468],cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471],cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; histone acetyltransferase binding [GO:0035035]; identical protein binding [GO:0042802]; nuclear androgen receptor binding [GO:0050681]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; innate immune response [GO:0045087]; protein autoubiquitination [GO:0051865]; regulation of androgen receptor signaling pathway [GO:0060765]; regulation of gene expression [GO:0010468],histone acetyltransferase binding [GO:0035035]; identical protein binding [GO:0042802]; nuclear androgen receptor binding [GO:0050681]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270],GO:0004842; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005794; GO:0005829; GO:0008270; GO:0010468; GO:0035035; GO:0042802; GO:0045087; GO:0048471; GO:0050681; GO:0051865; GO:0060765; GO:0061630
Q6DN72,FCRL6_HUMAN,Fc receptor-like protein 6 (FcR-like protein 6) (FcRL6) (Fc receptor homolog 6) (FcRH6) (IFGP6),FCRL6 FCRH6,9606.ENSP00000357086,cell surface receptor signaling pathway [GO:0007166]; immune response [GO:0006955],external side of plasma membrane [GO:0009897]; plasma membrane [GO:0005886],external side of plasma membrane [GO:0009897]; plasma membrane [GO:0005886]; MHC class II protein binding [GO:0042289]; phosphatase binding [GO:0019902]; protein phosphatase binding [GO:0019903]; transmembrane signaling receptor activity [GO:0004888]; cell surface receptor signaling pathway [GO:0007166]; immune response [GO:0006955],MHC class II protein binding [GO:0042289]; phosphatase binding [GO:0019902]; protein phosphatase binding [GO:0019903]; transmembrane signaling receptor activity [GO:0004888],GO:0004888; GO:0005886; GO:0006955; GO:0007166; GO:0009897; GO:0019902; GO:0019903; GO:0042289
Q7Z7A4,PXK_HUMAN,"PX domain-containing protein kinase-like protein (Modulator of Na,K-ATPase) (MONaKA)",PXK,9606.ENSP00000348472,inflammatory response [GO:0006954]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of ATP-dependent activity [GO:0032780]; negative regulation of monoatomic ion transport [GO:0043271],centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991],centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; actin binding [GO:0003779]; phosphatidylinositol binding [GO:0035091]; inflammatory response [GO:0006954]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of ATP-dependent activity [GO:0032780]; negative regulation of monoatomic ion transport [GO:0043271],actin binding [GO:0003779]; phosphatidylinositol binding [GO:0035091],GO:0003779; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006954; GO:0032780; GO:0032991; GO:0034451; GO:0035091; GO:0043271; GO:0050804
Q86V81,THOC4_HUMAN,THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Aly/REF export factor) (Transcriptional coactivator Aly/REF) (bZIP-enhancing factor BEF),ALYREF ALY BEF THOC4,9606.ENSP00000421592,mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; osteoblast differentiation [GO:0001649]; RNA export from nucleus [GO:0006405]; RNA splicing [GO:0008380],catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription export complex [GO:0000346],catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription export complex [GO:0000346]; C5-methylcytidine-containing RNA reader activity [GO:0062153]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; mRNA export from nucleus [GO:0006406]; mRNA processing [GO:0006397]; osteoblast differentiation [GO:0001649]; RNA export from nucleus [GO:0006405]; RNA splicing [GO:0008380],C5-methylcytidine-containing RNA reader activity [GO:0062153]; mRNA binding [GO:0003729]; RNA binding [GO:0003723],GO:0000346; GO:0001649; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006397; GO:0006405; GO:0006406; GO:0008380; GO:0016020; GO:0016607; GO:0062153; GO:0070062; GO:0071013
Q86VZ6,JAZF1_HUMAN,Juxtaposed with another zinc finger protein 1 (TAK1-interacting protein 27) (Zinc finger protein 802),JAZF1 TIP27 ZNF802,9606.ENSP00000283928,lipid metabolic process [GO:0006629]; negative regulation of transcription by RNA polymerase II [GO:0000122],ciliary tip [GO:0097542]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription repressor complex [GO:0017053],ciliary tip [GO:0097542]; cytosol [GO:0005829]; fibrillar center [GO:0001650]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription repressor complex [GO:0017053]; transcription corepressor activity [GO:0003714]; zinc ion binding [GO:0008270]; lipid metabolic process [GO:0006629]; negative regulation of transcription by RNA polymerase II [GO:0000122],transcription corepressor activity [GO:0003714]; zinc ion binding [GO:0008270],GO:0000122; GO:0001650; GO:0003714; GO:0005634; GO:0005654; GO:0005829; GO:0006629; GO:0008270; GO:0017053; GO:0097542
Q8IZA0,K319L_HUMAN,Dyslexia-associated protein KIAA0319-like protein (Adeno-associated virus receptor) (AAVR),KIAA0319L AAVR KIAA1837 PP791,9606.ENSP00000318406,flagellated sperm motility [GO:0030317]; neuron migration [GO:0001764]; proacrosomal vesicle fusion [GO:0120211]; receptor-mediated endocytosis of virus by host cell [GO:0019065]; response to auditory stimulus [GO:0010996],cytoplasmic vesicle [GO:0031410]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; trans-Golgi network membrane [GO:0032588],cytoplasmic vesicle [GO:0031410]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; trans-Golgi network membrane [GO:0032588]; flagellated sperm motility [GO:0030317]; neuron migration [GO:0001764]; proacrosomal vesicle fusion [GO:0120211]; receptor-mediated endocytosis of virus by host cell [GO:0019065]; response to auditory stimulus [GO:0010996],,GO:0000139; GO:0001764; GO:0005730; GO:0005794; GO:0005886; GO:0010996; GO:0016020; GO:0019065; GO:0030317; GO:0031410; GO:0032588; GO:0120211
Q8NDB2,BANK1_HUMAN,B-cell scaffold protein with ankyrin repeats,BANK1,9606.ENSP00000320509,B cell activation [GO:0042113]; B cell receptor signaling pathway [GO:0050853]; MAPK cascade [GO:0000165]; negative regulation of B cell activation [GO:0050869]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of translational initiation [GO:0045947]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; response to bacterium [GO:0009617],perinuclear region of cytoplasm [GO:0048471],perinuclear region of cytoplasm [GO:0048471]; phospholipase binding [GO:0043274]; protease binding [GO:0002020]; protein tyrosine kinase binding [GO:1990782]; signaling adaptor activity [GO:0035591]; signaling receptor binding [GO:0005102]; B cell activation [GO:0042113]; B cell receptor signaling pathway [GO:0050853]; MAPK cascade [GO:0000165]; negative regulation of B cell activation [GO:0050869]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of translational initiation [GO:0045947]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of peptidyl-tyrosine phosphorylation [GO:0050731]; response to bacterium [GO:0009617],phospholipase binding [GO:0043274]; protease binding [GO:0002020]; protein tyrosine kinase binding [GO:1990782]; signaling adaptor activity [GO:0035591]; signaling receptor binding [GO:0005102],GO:0000165; GO:0002020; GO:0005102; GO:0009617; GO:0032715; GO:0035591; GO:0042113; GO:0043274; GO:0043410; GO:0043491; GO:0045947; GO:0048471; GO:0050731; GO:0050853; GO:0050869; GO:0051898; GO:1990782
Q8TDQ0,HAVR2_HUMAN,Hepatitis A virus cellular receptor 2 (HAVcr-2) (T-cell immunoglobulin and mucin domain-containing protein 3) (TIMD-3) (T-cell immunoglobulin mucin receptor 3) (TIM-3) (T-cell membrane protein 3) (CD antigen CD366),HAVCR2 TIM3 TIMD3,9606.ENSP00000312002,adaptive immune response [GO:0002250]; cellular response to lipopolysaccharide [GO:0071222]; defense response to Gram-positive bacterium [GO:0050830]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; macrophage activation involved in immune response [GO:0002281]; maternal process involved in female pregnancy [GO:0060135]; natural killer cell tolerance induction [GO:0002519]; negative regulation of defense response to bacterium [GO:1900425]; negative regulation of gene expression [GO:0010629]; negative regulation of granulocyte colony-stimulating factor production [GO:0071656]; negative regulation of immunological synapse formation [GO:2000521]; negative regulation of interferon-alpha production [GO:0032687]; negative regulation of interleukin-2 production [GO:0032703]; negative regulation of interleukin-3 production [GO:0032712]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of myeloid dendritic cell activation [GO:0030886]; negative regulation of natural killer cell activation [GO:0032815]; negative regulation of natural killer cell mediated cytotoxicity directed against tumor cell target [GO:0002859]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell [GO:2001189]; negative regulation of T cell proliferation [GO:0042130]; negative regulation of T-helper 1 type immune response [GO:0002826]; negative regulation of tumor necrosis factor production [GO:0032720]; negative regulation of type II interferon production [GO:0032689]; positive regulation of chemokine production [GO:0032722]; positive regulation of defense response to bacterium [GO:1900426]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of interleukin-1 production [GO:0032732]; positive regulation of interleukin-4 production [GO:0032753]; positive regulation of macrophage activation [GO:0043032]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type II interferon production [GO:0032729]; regulation of tolerance induction dependent upon immune response [GO:0002652]; regulation of transcription by RNA polymerase II [GO:0006357]; toll-like receptor 3 signaling pathway [GO:0034138]; toll-like receptor 7 signaling pathway [GO:0034154]; toll-like receptor 9 signaling pathway [GO:0034162],anchoring junction [GO:0070161]; cell surface [GO:0009986]; early endosome [GO:0005769]; immunological synapse [GO:0001772]; mediator complex [GO:0016592]; plasma membrane [GO:0005886],anchoring junction [GO:0070161]; cell surface [GO:0009986]; early endosome [GO:0005769]; immunological synapse [GO:0001772]; mediator complex [GO:0016592]; plasma membrane [GO:0005886]; metal ion binding [GO:0046872]; transmembrane signaling receptor activity [GO:0004888]; adaptive immune response [GO:0002250]; cellular response to lipopolysaccharide [GO:0071222]; defense response to Gram-positive bacterium [GO:0050830]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; macrophage activation involved in immune response [GO:0002281]; maternal process involved in female pregnancy [GO:0060135]; natural killer cell tolerance induction [GO:0002519]; negative regulation of defense response to bacterium [GO:1900425]; negative regulation of gene expression [GO:0010629]; negative regulation of granulocyte colony-stimulating factor production [GO:0071656]; negative regulation of immunological synapse formation [GO:2000521]; negative regulation of interferon-alpha production [GO:0032687]; negative regulation of interleukin-2 production [GO:0032703]; negative regulation of interleukin-3 production [GO:0032712]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of myeloid dendritic cell activation [GO:0030886]; negative regulation of natural killer cell activation [GO:0032815]; negative regulation of natural killer cell mediated cytotoxicity directed against tumor cell target [GO:0002859]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell [GO:2001189]; negative regulation of T cell proliferation [GO:0042130]; negative regulation of T-helper 1 type immune response [GO:0002826]; negative regulation of tumor necrosis factor production [GO:0032720]; negative regulation of type II interferon production [GO:0032689]; positive regulation of chemokine production [GO:0032722]; positive regulation of defense response to bacterium [GO:1900426]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of interleukin-1 production [GO:0032732]; positive regulation of interleukin-4 production [GO:0032753]; positive regulation of macrophage activation [GO:0043032]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of T cell proliferation [GO:0042102]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type II interferon production [GO:0032729]; regulation of tolerance induction dependent upon immune response [GO:0002652]; regulation of transcription by RNA polymerase II [GO:0006357]; toll-like receptor 3 signaling pathway [GO:0034138]; toll-like receptor 7 signaling pathway [GO:0034154]; toll-like receptor 9 signaling pathway [GO:0034162],metal ion binding [GO:0046872]; transmembrane signaling receptor activity [GO:0004888],GO:0001772; GO:0002250; GO:0002281; GO:0002519; GO:0002652; GO:0002826; GO:0002859; GO:0004888; GO:0005769; GO:0005886; GO:0006357; GO:0006954; GO:0009986; GO:0010629; GO:0016592; GO:0030886; GO:0032088; GO:0032687; GO:0032689; GO:0032703; GO:0032712; GO:0032715; GO:0032720; GO:0032722; GO:0032729; GO:0032732; GO:0032753; GO:0032760; GO:0032815; GO:0034138; GO:0034154; GO:0034162; GO:0042102; GO:0042130; GO:0043032; GO:0045087; GO:0046872; GO:0050830; GO:0060135; GO:0070161; GO:0070374; GO:0071222; GO:0071656; GO:1900425; GO:1900426; GO:1901224; GO:2000521; GO:2001189
Q8WWX8,SC5AB_HUMAN,Sodium/myo-inositol cotransporter 2 (Na(+)/myo-inositol cotransporter 2) (Sodium-dependent glucose cotransporter) (Sodium/glucose cotransporter KST1) (Sodium/myo-inositol transporter 2) (SMIT2) (Solute carrier family 5 member 11),SLC5A11 KST1 SLGTX SMIT2,9606.ENSP00000289932,apoptotic process [GO:0006915]; myo-inositol transport [GO:0015798],apical plasma membrane [GO:0016324]; plasma membrane [GO:0005886],apical plasma membrane [GO:0016324]; plasma membrane [GO:0005886]; D-glucose:sodium symporter activity [GO:0005412]; myo-inositol transmembrane transporter activity [GO:0005365]; polyol transmembrane transporter activity [GO:0015166]; apoptotic process [GO:0006915]; myo-inositol transport [GO:0015798],D-glucose:sodium symporter activity [GO:0005412]; myo-inositol transmembrane transporter activity [GO:0005365]; polyol transmembrane transporter activity [GO:0015166],GO:0005365; GO:0005412; GO:0005886; GO:0006915; GO:0015166; GO:0015798; GO:0016324
Q969S6,TM203_HUMAN,Transmembrane protein 203,TMEM203,9606.ENSP00000375053,intracellular calcium ion homeostasis [GO:0006874]; spermatogenesis [GO:0007283],endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; lysosomal membrane [GO:0005765],endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; lysosomal membrane [GO:0005765]; intracellular calcium ion homeostasis [GO:0006874]; spermatogenesis [GO:0007283],,GO:0005765; GO:0005783; GO:0005789; GO:0005793; GO:0006874; GO:0007283
Q96DU3,SLAF6_HUMAN,SLAM family member 6 (Activating NK receptor) (NK-T-B-antigen) (NTB-A) (CD antigen CD352),SLAMF6 KALI UNQ6123/PRO20080,9606.ENSP00000357036,immune response [GO:0006955]; innate immune response [GO:0045087]; positive regulation of interleukin-17 production [GO:0032740]; positive regulation of natural killer cell mediated cytotoxicity [GO:0045954]; positive regulation of type II interferon production [GO:0032729]; T cell activation [GO:0042110]; T-helper 17 cell lineage commitment [GO:0072540],external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; plasma membrane [GO:0005886],external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; plasma membrane [GO:0005886]; immune response [GO:0006955]; innate immune response [GO:0045087]; positive regulation of interleukin-17 production [GO:0032740]; positive regulation of natural killer cell mediated cytotoxicity [GO:0045954]; positive regulation of type II interferon production [GO:0032729]; T cell activation [GO:0042110]; T-helper 17 cell lineage commitment [GO:0072540],,GO:0005886; GO:0006955; GO:0009897; GO:0032729; GO:0032740; GO:0042110; GO:0045087; GO:0045954; GO:0070062; GO:0072540
Q9BXF6,RFIP5_HUMAN,Rab11 family-interacting protein 5 (Rab11-FIP5) (Gamma-SNAP-associated factor 1) (Gaf-1) (Phosphoprotein pp75) (Rab11-interacting protein Rip11),RAB11FIP5 GAF1 KIAA0857 RIP11,9606.ENSP00000258098,cellular response to acidic pH [GO:0071468]; insulin secretion involved in cellular response to glucose stimulus [GO:0035773]; negative regulation of adiponectin secretion [GO:0070164]; regulated exocytosis [GO:0045055]; regulation of protein localization to cell surface [GO:2000008],acrosomal vesicle [GO:0001669]; centriolar satellite [GO:0034451]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; recycling endosome membrane [GO:0055038]; secretory granule [GO:0030141]; sperm annulus [GO:0097227]; sperm end piece [GO:0097229]; sperm principal piece [GO:0097228]; transport vesicle membrane [GO:0030658],acrosomal vesicle [GO:0001669]; centriolar satellite [GO:0034451]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; early endosome [GO:0005769]; early endosome membrane [GO:0031901]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nuclear speck [GO:0016607]; phagocytic vesicle [GO:0045335]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; recycling endosome membrane [GO:0055038]; secretory granule [GO:0030141]; sperm annulus [GO:0097227]; sperm end piece [GO:0097229]; sperm principal piece [GO:0097228]; transport vesicle membrane [GO:0030658]; gamma-tubulin binding [GO:0043015]; small GTPase binding [GO:0031267]; cellular response to acidic pH [GO:0071468]; insulin secretion involved in cellular response to glucose stimulus [GO:0035773]; negative regulation of adiponectin secretion [GO:0070164]; regulated exocytosis [GO:0045055]; regulation of protein localization to cell surface [GO:2000008],gamma-tubulin binding [GO:0043015]; small GTPase binding [GO:0031267],GO:0000139; GO:0001669; GO:0005739; GO:0005741; GO:0005769; GO:0005794; GO:0005886; GO:0005929; GO:0016607; GO:0030141; GO:0030658; GO:0031267; GO:0031901; GO:0034451; GO:0035773; GO:0036064; GO:0043015; GO:0045055; GO:0045335; GO:0055037; GO:0055038; GO:0070164; GO:0071468; GO:0097227; GO:0097228; GO:0097229; GO:2000008
Q9BXJ3,C1QT4_HUMAN,Complement C1q tumor necrosis factor-related protein 4 (C1q/TNF-related protein 4),C1QTNF4 CTRP4,9606.ENSP00000302274,cell surface receptor signaling pathway via STAT [GO:0097696]; gene expression [GO:0010467]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-6-mediated signaling pathway [GO:0070105]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of tumor necrosis factor production [GO:0032760]; reduction of food intake in response to dietary excess [GO:0002023],extracellular space [GO:0005615],extracellular space [GO:0005615]; cytokine activity [GO:0005125]; cell surface receptor signaling pathway via STAT [GO:0097696]; gene expression [GO:0010467]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of interleukin-6-mediated signaling pathway [GO:0070105]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of tumor necrosis factor production [GO:0032760]; reduction of food intake in response to dietary excess [GO:0002023],cytokine activity [GO:0005125],GO:0002023; GO:0005125; GO:0005615; GO:0010467; GO:0032755; GO:0032760; GO:0070105; GO:0097696; GO:1901224
